"Title";"Year";"Album";"Popularity";"durationMin";"Key";"Mode";"Tempo";"Time_signature";"Valence";"Danceability";"Energy";"Loudness";"Acousticness";"Single A side";"Single B side";"Single certification";"newStyle";"newTheme";"newMood";"newGenre";"Songwriter(s)";"primaryWriter";"Lead vocal(s)";"primaryVocals";"Cover";"Covered by";"Chart position UK (Wikipedia)";"Chart position US (Wikipedia)";"Highest position (The Guardian)";"Weeks on chart in UK (The Guardian)";"Weeks at No1 in UK (The Guardian)";"Highest position (Billboard)";"Weeks at No1 (Billboard)";"Top 50 (Billboard)";"Top 50 (Ultimate classic rock)";"Top 50 (Rolling Stone)";"Top 50 (NME)";"Top 50 (Top50songs.org)";"Top 50 (USA today, 2017)";"Top 50 (Vulture, by Bill Wyman)"
"Hold Me Tight";"1963";"With the Beatles";"50";2.53;"F";"Major";"135.731";"4";"0.963";"0.54";"0.744";"-9.637";"0.664";"";"";"";"British Invasion";"";"Bright";"Rock & Roll";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"4";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Honey Don't";"1964";"Beatles for Sale";"46";2.88;"E";"Major";"162.438";"4";"0.735";"0.629";"0.545";"-11.466";"0.473";"";"";"";"British Invasion";"";"Rollicking";"Rockabilly";"Perkins";"Other";"Starkey";"Starkey";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Honey Pie";"1968";"The Beatles";"53";2.68;"G";"Major";"144.197";"4";"0.553";"0.537";"0.297";"-15.452";"0.88";"";"";"";"Contemporary Pop/Rock";"";"Amiable/Good-Natured";"Music Hall";"McCartney";"McCartney";"McCartney";"McCartney";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I Am the Walrus";"1967";"Magical Mystery Tour";"64";4.55;"D";"Major";"85.206";"4";"0.654";"0.401";"0.556";"-10.532";"0.0828";"Hello, Goodbye";"I Am the Walrus";"RIAA Gold";"British Psychedelia";"";"Acerbic";"Psychedelic Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"18";"";"56";"";"0";"0";"";"0";"";"27";"33";"9";"29";"";"35"
"I Call Your Name";"1964";"Past Masters (Vols. 1 & 2 / Remastered)";"42";2.15;"A";"Major";"125.763";"4";"0.962";"0.69";"0.691";"-7.057";"0.313";"";"";"";"British Invasion";"Heartache";"Bright";"Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I Don't Want to Spoil the Party";"1964";"Beatles for Sale";"46";2.55;"G";"Major";"95.438";"4";"0.889";"0.533";"0.668";"-7.237";"0.451";"Eight Days a Week; I'll Follow the Sun";"I Don't Want to Spoil the Party; I Don't Want to Spoil the Party";"RIAA Gold";"British Invasion";"Feeling Blue";"Autumnal";"Country Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"3";"";"39";"";"0";"0";"39";"0";"49";"";"";"";"";"";""
"I Feel Fine";"1964";"Past Masters (Vols. 1 & 2 / Remastered)";"40";2.42;"G";"Major";"90.138";"4";"0.769";"0.571";"0.788";"-8.159";"0.311";"I Feel Fine";"She's a Woman";"RIAA Gold";"British Invasion";"In Love";"Bright";"Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"10";"1";"1";"1";"13";"5";"1";"3";"11";"47";"42";"";"";"46";""
"I Me Mine";"1969";"Let It Be";"57";2.42;"A";"Minor";"185.235";"3";"0.525";"0.291";"0.638";"-7.854";"0.179";"";"";"";"Album Rock";"Introspection";"Acerbic";"Folk blues";"Harrison";"Harrison";"Harrison";"Harrison";"N";"1";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I Need You";"1965";"Help!";"57";2.47;"A";"Major";"136.215";"4";"0.638";"0.601";"0.489";"-8.554";"0.277";"";"";"";"British Invasion";"Feeling Blue";"Yearning";"Pop/Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"1";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I Saw Her Standing There";"1963";"Please Please Me";"71";2.92;"E";"Major";"160.109";"4";"0.971";"0.491";"0.801";"-9.835";"0.27";"I Want to Hold Your Hand";"I Saw Her Standing There";"RIAA Gold";"British Invasion";"New Love";"Energetic";"Rock and Roll";"McCartney, with Lennon";"McCartney";"McCartney, with Lennon";"McCartney";"N";"29";"90";"14";"";"0";"0";"12";"0";"36";"17";"16";"31";"";"17";"21"
"I Should Have Known Better";"1964";"A Hard Day's Night";"59";2.73;"G";"Major";"130.704";"4";"0.91";"0.682";"0.444";"-7.689";"0.257";"A Hard Day's Night";"I Should Have Known Better";"RIAA Gold";"British Invasion";"Awareness";"Bright";"Pop/Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"5";"8";"53";"";"0";"0";"";"0";"";"";"36";"";"";"";""
"I Wanna Be Your Man";"1963";"With the Beatles";"49";1.72;"A";"Major";"99.138";"4";"0.683";"0.553";"0.914";"-8.232";"0.477";"";"";"";"British Invasion";"Cool & Cocky";"Gritty";"Rock and Roll";"McCartney, with Lennon";"McCartney";"Starkey";"Starkey";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I Want You (She's So Heavy)";"1969";"Abbey Road";"65";7.78;"D";"Minor";"115.732";"4";"0.42";"0.37";"0.515";"-9.487";"0.0233";"";"";"";"Album Rock";"";"Dramatic";"Blues Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"16";"";"";"";"0";"0";"";"0";"";"";"";"44";"";"";""
"I Want to Hold Your Hand";"1963";"Past Masters (Vols. 1 & 2 / Remastered)";"41";2.4;"G";"Major";"131.011";"4";"0.916";"0.492";"0.73";"-6.434";"0.57";"I Want to Hold Your Hand";"This Boy";"";"British Invasion";"Affection/Fondness";"Bright";"Rock and Roll";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"N";"29";"1";"1";"1";"22";"5";"1";"7";"2";"9";"2";"3";"16";"18";"49"
"I Want to Tell You";"1966";"Revolver";"52";2.48;"A";"Major";"127.492";"4";"0.449";"0.493";"0.525";"-9.289";"0.182";"";"";"";"British Invasion";"";"Bright";"Psychedelic Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I Will";"1968";"The Beatles";"68";1.77;"F";"Major";"103.11";"4";"0.832";"0.631";"0.387";"-11.529";"0.742";"";"";"";"Contemporary Pop/Rock";"In Love";"Amiable/Good-Natured";"Folk";"McCartney";"McCartney";"McCartney";"McCartney";"N";"12";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'll Be Back";"1964";"A Hard Day's Night";"53";2.33;"A";"Major";"123.902";"4";"0.641";"0.721";"0.527";"-7.224";"0.744";"";"";"";"British Invasion";"Goodbyes";"Bittersweet";"Rock";"Lennon";"Lennon";"Lennon, with McCartney";"Lennon";"N";"9";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'll Cry Instead";"1964";"A Hard Day's Night";"49";2.15;"G";"Major";"96.711";"4";"0.96";"0.643";"0.73";"-6.859";"0.0917";"I'll Cry Instead";"I'm Happy Just to Dance with You";"";"British Invasion";"Feeling Blue";"Acerbic";"Rock and Roll";"Lennon";"Lennon";"Lennon";"Lennon";"N";"3";"";"25";"";"0";"0";"25";"0";"43";"";"";"";"";"";"37"
"I'll Follow the Sun";"1964";"Beatles for Sale";"69";1.77;"C";"Major";"133.754";"4";"0.625";"0.689";"0.313";"-10.073";"0.789";"I'll Follow the Sun";"I Don't Want to Spoil the Party";"";"British Invasion";"";"Bittersweet";"Folk Rock";"McCartney";"McCartney";"McCartney, with Lennon";"McCartney";"N";"6";"";"";"";"0";"0";"";"0";"";"";"";"";"";"27";""
"I'll Get You";"1963";"Past Masters (Vols. 1 & 2 / Remastered)";"42";2.07;"A";"Major";"125.7";"4";"0.962";"0.653";"0.75";"-6.531";"0.616";"She Loves You; Sie Liebt Dich";"I'll Get You; I'll Get You";"";"";"";"";"Merseybeat";"Lennon and McCartney";"Lennon and McCartney";"Lennon, with McCartney";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'm Down";"1965";"Past Masters (Vols. 1 & 2 / Remastered)";"43";2.55;"G";"Major";"82.077";"4";"0.937";"0.439";"0.813";"-8.304";"0.563";"Help!";"I'm Down";"RIAA Gold";"British Invasion";"";"Energetic";"Rock and Roll";"McCartney";"McCartney";"McCartney";"McCartney";"N";"7";"";"101";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'm Happy Just to Dance with You";"1964";"A Hard Day's Night";"57";1.97;"F#/Gb";"Minor";"132.115";"4";"0.887";"0.658";"0.537";"-7.535";"0.138";"I'll Cry Instead";"I'm Happy Just to Dance with You";"";"British Invasion";"New Love";"Bright";"Rock";"Lennon and McCartney";"Lennon and McCartney";"Harrison";"Harrison";"N";"5";"";"95";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'm Looking Through You";"1965";"Rubber Soul";"60";2.45;"C#/Db";"Major";"85.843";"4";"0.774";"0.667";"0.498";"-11.027";"0.00772";"";"";"";"British Invasion";"Feeling Blue";"Autumnal";"Folk Rock";"McCartney";"McCartney";"McCartney, with Lennon";"McCartney";"N";"7";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'm Only Sleeping";"1966";"Revolver";"60";3.03;"G#/Ab";"Minor";"103.477";"4";"0.698";"0.494";"0.47";"-9.599";"0.21";"";"";"";"British Invasion";"Stay in Bed";"Dreamy";"Psychedelic Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"7";"";"";"";"0";"0";"";"0";"";"";"";"";"";"48";""
"I'm So Tired";"1968";"The Beatles";"58";2.05;"A";"Major";"68.492";"4";"0.717";"0.433";"0.483";"-9.422";"0.656";"";"";"";"Contemporary Pop/Rock";"Feeling Blue";"Bittersweet";"Blues Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I'm a Loser";"1964";"Beatles for Sale";"50";2.52;"G";"Major";"89.877";"4";"0.856";"0.492";"0.628";"-7.813";"0.567";"Rock and Roll Music";"I'm a Loser";"";"British Invasion";"Heartache";"Angst-Ridden";"Folk Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I've Got a Feeling";"1969";"Let It Be";"59";3.62;"D";"Major";"165.156";"4";"0.364";"0.44";"0.609";"-8.824";"0.0715";"";"";"";"Album Rock";"New Love";"Freewheeling";"Blues Rock";"McCartney, with Lennon";"McCartney";"McCartney, with Lennon";"McCartney";"N";"6";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"I've Just Seen a Face";"1965";"Help!";"66";2.12;"A";"Major";"120.418";"3";"0.913";"0.647";"0.56";"-8.809";"0.723";"";"";"";"British Invasion";"In Love";"Fun";"Folk Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"15";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"If I Fell";"1964";"A Hard Day's Night";"67";2.37;"D";"Major";"108.211";"4";"0.568";"0.665";"0.31";"-8.928";"0.68";"And I Love Her; If I Fell";"If I Fell; Tell Me Why";"";"British Invasion";"Heartache";"Poignant";"Pop/Rock";"Lennon";"Lennon";"Lennon, with McCartney";"Lennon";"N";"14";"";"53";"";"0";"0";"";"0";"";"";"26";"";"";"";""
"If I Needed Someone";"1965";"Rubber Soul";"56";2.38;"A";"Major";"127.387";"4";"0.796";"0.492";"0.755";"-9.273";"0.00748";"";"";"";"British Invasion";"";"Reflective";"Folk Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"8";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"In My Life";"1965";"Rubber Soul";"79";2.47;"A";"Major";"103.239";"4";"0.435";"0.688";"0.435";"-11.359";"0.449";"";"";"";"British Invasion";"Introspection";"Autumnal";"Baroque Pop";"Lennon and McCartney";"Lennon and McCartney";"Lennon";"Lennon";"N";"38";"78";"";"";"0";"0";"";"0";"";"5";"5";"12";"34";"2";"42"
"It Won't Be Long";"1963";"With the Beatles";"54";2.22;"E";"Major";"133.117";"4";"0.862";"0.472";"0.673";"-8.853";"0.284";"";"";"";"British Invasion";"";"Bright";"Rock";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"7";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"It's All Too Much";"1967";"Yellow Submarine";"44";6.47;"G";"Major";"113.511";"4";"0.199";"0.39";"0.781";"-7.878";"4.3e-05";"";"";"";"British Psychedelia";"Late Night";"Circular";"Psychedelic Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"4";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"It's Only Love";"1965";"Help!";"56";1.92;"C";"Major";"113.155";"3";"0.685";"0.629";"0.551";"-8.281";"0.22";"";"";"";"British Invasion";"Breakup";"Bittersweet";"Folk Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Julia";"1968";"The Beatles";"57";2.9;"D";"Major";"134.706";"4";"0.193";"0.512";"0.0953";"-16.082";"0.828";"Ob-La-Di, Ob-La-Da";"Julia";"";"Contemporary Pop/Rock";"Heartache";"Calm/Peaceful";"Folk";"Lennon";"Lennon";"Lennon";"Lennon";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"48";"";"43";"50"
"Kansas City / Hey, Hey, Hey, Hey";"1964";"Beatles for Sale";"47";2.72;"G";"Major";"131.36";"4";"0.924";"0.588";"0.724";"-6.63";"0.614";"Boys";"Kansas City/Hey, Hey, Hey, Hey";"";"British Invasion";"Celebration";"Amiable/Good-Natured";"R&B";"Leiber, Stoller/Penniman";"Other";"McCartney";"McCartney";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Lady Madonna";"1968";"Past Masters (Vols. 1 & 2 / Remastered)";"39";2.27;"D";"Major";"109.11";"4";"0.78";"0.631";"0.748";"-7.604";"0.385";"Lady Madonna";"The Inner Light";"RIAA Platinum";"British Invasion";"Christmas";"Amiable/Good-Natured";"Rock and Roll";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"20";"1";"4";"1";"8";"2";"4";"0";"22";"";"";"";"36";"";""
"Let It Be";"1969";"Let It Be";"81";4.05;"C";"Major";"143.462";"4";"0.41";"0.443";"0.403";"-8.339";"0.631";"Let It Be";"You Know My Name (Look Up the Number)";"RIAA 2xPlatinum";"Album Rock";"Comfort";"Calm/Peaceful";"Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"45";"2";"1";"2";"10";"0";"1";"2";"5";"6";"8";"13";"2";"10";"15"
"Little Child";"1963";"With the Beatles";"46";1.8;"A";"Major";"75.596";"4";"0.886";"0.526";"0.858";"-8.533";"0.292";"";"";"";"British Invasion";"";"Bright";"Rock and Roll";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Long Tall Sally";"1964";"Past Masters (Vols. 1 & 2 / Remastered)";"44";2.17;"C";"Major";"172.467";"4";"0.917";"0.383";"0.77";"-7.096";"0.209";"";"";"";"British Invasion";"";"";"Rock and Roll";"Blackwell, Johnson, Penniman";"Other";"McCartney";"McCartney";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Long, Long, Long";"1968";"The Beatles";"52";3.07;"F";"Major";"104.837";"3";"0.163";"0.349";"0.129";"-15.883";"0.539";"";"";"";"Contemporary Pop/Rock";"Introspection";"Atmospheric";"Psychedelic Folk";"Harrison";"Harrison";"Harrison";"Harrison";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"46";"";"";""
"Love Me Do";"1962";"Please Please Me";"71";2.37;"C";"Major";"147.997";"4";"0.744";"0.52";"0.829";"-6.228";"0.386";"Love Me Do";"P.S. I Love You";"RIAA Platinum";"British Invasion";"Feeling Blue";"Yearning";"Merseybeat";"McCartney, with Lennon";"McCartney";"McCartney, with Lennon";"McCartney";"N";"9";"4";"1";"17";"18";"0";"1";"0";"16";"";"";"";"13";"";""
"Love You to";"1966";"Revolver";"53";3.02;"F";"Major";"123.986";"4";"0.707";"0.391";"0.593";"-8.999";"0.7";"";"";"";"British Psychedelia";"";"Trippy";"Indian Music";"Harrison";"Harrison";"Harrison";"Harrison";"N";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Lovely Rita";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"56";2.7;"G#/Ab";"Minor";"87.379";"4";"0.63";"0.61";"0.471";"-9.151";"0.0634";"";"";"";"British Psychedelia";"Day Driving";"Bright";"Psychedelic Folk";"McCartney";"McCartney";"McCartney";"McCartney";"N";"7";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";"19"
"Lucy in the Sky with Diamonds";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"70";3.47;"D";"Major";"65.09";"1";"0.668";"0.311";"0.325";"-9.042";"0.0469";"";"";"";"British Psychedelia";"The Creative Side";"Ambitious";"Psychedelic Rock";"Lennon with McCartney";"Lennon";"Lennon";"Lennon";"N";"17";"";"";"";"0";"0";"";"0";"";"39";"19";"39";"11";"21";""
"Maggie Mae";"1969";"Let It Be";"51";0.67;"D";"Minor";"169.039";"4";"0.524";"0.516";"0.515";"-12.035";"0.379";"";"";"";"Alternative/Indie Rock";"Biographical";"Carefree";"Skiffle";"Traditional, arr. Lennon, McCartney, Harrison, Starkey";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Magical Mystery Tour";"1967";"Magical Mystery Tour";"56";2.85;"A";"Major";"170.962";"4";"0.338";"0.297";"0.613";"-9.065";"0.0385";"";"";"";"British Psychedelia";"";"Brash";"Psychedelic Rock";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"5";"";"";"2";"12";"0";"";"0";"";"";"";"";"";"";""
"Martha My Dear";"1968";"The Beatles";"56";2.47;"A#/Bb";"Major";"177.624";"4";"0.824";"0.472";"0.292";"-11.591";"0.872";"";"";"";"Baroque Pop";"Affection/Fondness";"Amiable/Good-Natured";"Music Hall";"McCartney";"McCartney";"McCartney";"McCartney";"N";"6";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Matchbox";"1964";"Past Masters (Vols. 1 & 2 / Remastered)";"37";1.95;"D";"Major";"160.07";"4";"0.963";"0.344";"0.796";"-7.729";"0.428";"Matchbox";"Slow Down";"";"British Invasion";"Cool & Cocky";"Amiable/Good-Natured";"Rock and roll";"Perkins, Jefferson";"Other";"Starkey (Best)";"Starkey";"Y";"";"";"17";"";"0";"0";"17";"0";"40";"";"";"";"";"";""
"Maxwell's Silver Hammer";"1969";"Abbey Road";"61";3.45;"D";"Major";"131.12";"4";"0.726";"0.764";"0.426";"-11.045";"0.629";"";"";"";"Album Rock";"";"Humorous";"Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"42";"";""
"Mean Mr. Mustard";"1969";"Abbey Road";"58";1.1;"E";"Major";"100.687";"4";"0.97";"0.676";"0.596";"-9.107";"0.0699";"";"";"";"Album Rock";"";"Irreverent";"Pop/Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Michelle";"1965";"Rubber Soul";"70";2.67;"F";"Minor";"117.403";"4";"0.666";"0.578";"0.29";"-12.501";"0.652";"Michelle";"Girl";"";"British Invasion";"In Love";"Intimate";"Pop/Rock";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"32";"";"";"";"0";"0";"";"0";"";"";"";"33";"39";"45";""
"Misery";"1963";"Please Please Me";"54";1.78;"C";"Major";"133.348";"4";"0.882";"0.591";"0.605";"-10.925";"0.707";"Misery; Roll Over Beethoven";"Ask Me Why; Misery";"";"British Invasion";"Feeling Blue";"Bright";"Pop/Rock";"Lennon, with McCartney";"Lennon";"Lennon, with McCartney";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Money (That's What I Want)";"1963";"With the Beatles";"51";2.78;"B";"Minor";"128.816";"1";"0.923";"0.545";"0.853";"-8.369";"0.425";"";"";"";"British Invasion";"";"Energetic";"Pop/Rock";"Gordy, Bradford";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";"14"
"Mother Nature's Son";"1968";"The Beatles";"57";2.8;"D";"Major";"84.78";"4";"0.401";"0.608";"0.178";"-17.109";"0.634";"";"";"";"Contemporary Pop/Rock";"The Great Outdoors";"Carefree";"Folk";"McCartney";"McCartney";"McCartney";"McCartney";"N";"11";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Mr. Moonlight";"1964";"Beatles for Sale";"48";2.58;"F#/Gb";"Major";"126.127";"5";"0.589";"0.631";"0.424";"-9.106";"0.796";"";"";"";"British Invasion";"";"Atmospheric";"Folk Rock";"Johnson";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"No Reply";"1964";"Beatles for Sale";"55";2.25;"C";"Major";"124.251";"4";"0.869";"0.718";"0.593";"-9.976";"0.67";"No Reply";"Rock and Roll Music";"";"British Invasion";"Breakup";"Anguished/Distraught";"Folk Rock";"Lennon, with McCartney";"Lennon";"Lennon, with McCartney";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"45";"";"";"";""
"Norwegian Wood (This Bird Has Flown)";"1965";"Rubber Soul";"75";2.08;"E";"Major";"176.625";"3";"0.65";"0.425";"0.369";"-11.876";"0.183";"";"";"";"British Invasion";"Feeling Blue";"Autumnal";"Folk Rock";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"30";"";"";"";"0";"0";"";"0";"";"15";"12";"26";"37";"11";"8"
"Not a Second Time";"1963";"With the Beatles";"48";2.13;"G";"Major";"124.848";"4";"0.961";"0.471";"0.817";"-9.999";"0.213";"";"";"";"British Invasion";"";"Earnest";"Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Nowhere Man";"1965";"Rubber Soul";"67";2.73;"E";"Major";"121.402";"4";"0.687";"0.534";"0.624";"-9.589";"0.00797";"Nowhere Man";"What Goes On";"RIAA Gold";"British Invasion";"Introspection";"Bright";"Folk Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"21";"";"3";"";"0";"0";"3";"0";"27";"40";"";"45";"";"36";"17"
"Ob-la-di, Ob-la-da";"1968";"The Beatles";"74";3.12;"A#/Bb";"Major";"113.059";"4";"0.975";"0.818";"0.728";"-8.331";"0.232";"Ob-La-Di, Ob-La-Da; Ob-La-Di, Ob-La-Da";"While My Guitar Gently Weeps; Julia";"";"Contemporary Pop/Rock";"";"Amiable/Good-Natured";"Ska";"McCartney";"McCartney";"McCartney";"McCartney";"N";"16";"";"49";"";"0";"0";"";"0";"";"";"";"";"35";"";""
"Octopus's Garden";"1969";"Abbey Road";"68";2.8;"C#/Db";"Minor";"92.225";"4";"0.73";"0.626";"0.512";"-9.15";"0.155";"";"";"";"Album Rock";"At the Beach";"Amiable/Good-Natured";"Rock";"Starkey, with uncredited assistance from Harrison";"Starkey";"Starkey";"Starkey";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"25";"";""
"Oh! Darling";"1969";"Abbey Road";"69";3.43;"E";"Major";"173.93";"3";"0.549";"0.422";"0.656";"-8.412";"0.0126";"";"";"";"Album Rock";"";"Bravado";"Swamp Pop";"McCartney";"McCartney";"McCartney";"McCartney";"N";"14";"";"";"";"0";"0";"";"0";"";"";"";"";"33";"";""
"Old Brown Shoe";"1969";"Past Masters (Vols. 1 & 2 / Remastered)";"38";3.27;"C#/Db";"Major";"142.849";"4";"0.396";"0.529";"0.781";"-9.662";"0.00171";"The Ballad of John and Yoko";"Old Brown Shoe";"RIAA Gold";"Album Rock";"";"Freewheeling";"Blues Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"One After 909";"1969";"Let It Be";"51";2.87;"E";"Major";"90.95";"4";"0.888";"0.554";"0.828";"-6.435";"0.0307";"";"";"";"Album Rock";"Biographical";"Freewheeling";"Roots Rock";"Lennon";"Lennon";"Lennon, with McCartney";"Lennon";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Only a Northern Song";"1967";"Yellow Submarine";"43";3.45;"A";"Major";"209.242";"4";"0.801";"0.175";"0.731";"-8.341";"0.000341";"";"";"";"British Psychedelia";"";"Druggy";"Psychedelic Rock";"Harrison";"Harrison";"Harrison";"Harrison";"N";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"P.S. I Love You";"1962";"Please Please Me";"54";2.1;"D";"Major";"134.435";"4";"0.77";"0.635";"0.656";"-8.5";"0.389";"Love Me Do";"P.S. I Love You";"RIAA Platinum";"British Invasion";"Affection/Fondness";"Amiable/Good-Natured";"Merseybeat";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"4";"4";"10";"";"0";"0";"10";"0";"34";"";"";"";"";"";""
"Paperback Writer";"1966";"Past Masters (Vols. 1 & 2 / Remastered)";"40";2.3;"G";"Major";"157.251";"4";"0.727";"0.49";"0.724";"-8.109";"0.189";"Paperback Writer";"Rain";"RIAA Gold";"British Invasion";"";"Energetic";"Hard Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"8";"1";"1";"1";"11";"2";"1";"2";"19";"33";"35";"17";"";"42";"40"
"Penny Lane";"1966";"Magical Mystery Tour";"67";3.05;"A";"Major";"113.038";"4";"0.49";"0.651";"0.488";"-8.22";"0.212";"Penny Lane";"Strawberry Fields Forever";"RIAA Gold";"British Psychedelia";"Reflection";"Cheerful";"Progressive Pop";"McCartney";"McCartney";"McCartney";"McCartney";"N";"13";"2";"1";"2";"11";"0";"1";"0";"24";"8";"32";"29";"17";"23";"3"
"Piggies";"1968";"The Beatles";"52";2.07;"G#/Ab";"Major";"93.245";"4";"0.52";"0.542";"0.445";"-9.105";"0.643";"";"";"";"Baroque Pop";"";"Acerbic";"Baroque Pop";"Harrison";"Harrison";"Harrison";"Harrison";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Please Mr. Postman";"1963";"With the Beatles";"58";2.6;"A";"Major";"122.546";"4";"0.961";"0.552";"0.644";"-9.129";"0.675";"Roll Over Beethoven";"Please Mr. Postman";"";"British Invasion";"";"Bright";"Rock and Roll";"Dobbins, Garrett, Holland, Bateman, Gorman";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Please Please Me";"1962";"Please Please Me";"61";2.0;"E";"Major";"139.388";"4";"0.706";"0.527";"0.48";"-9.61";"0.334";"Please Please Me; Please Please Me";"Ask Me Why; From Me to You";"RIAA Platinum";"British Invasion";"";"Bright";"Merseybeat";"Lennon";"Lennon";"Lennon, with McCartney";"Lennon";"N";"10";"2";"3";"2";"18";"0";"3";"0";"18";"19";"20";"";"";"28";"5"
"Polythene Pam";"1969";"Abbey Road";"57";1.2;"B";"Minor";"166.829";"4";"0.499";"0.474";"0.939";"-8.884";"0.00472";"";"";"";"Album Rock";"";"Brash";"Pop/Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
